tempo,u1y1,u1y2,u2y1,u2y2,u3y1,u3y3
0,23994.627,0.286914,11997.313,0.143457,119973.13,1.43457
1,24053.918,0.286621,11997.198,0.1434565,111867.33,1.434685
2,24112.949,0.286418,11997.277,0.143456,113268.28,1.434935
3,24160.061,0.286233,12001.153,0.143456,114406.39,1.435295
4,24199.354,0.286065,12018.717,0.143458,115246.62,1.43578
5,24233.896,0.285913,12044.047,0.143462,115919.35,1.43638
6,24264.66,0.285775,12065.847,0.143466,116499.86,1.437065
7,24292.887,0.28565,12081.5,0.1434695,117031.15,1.43782
8,24318.529,0.285537,12092.077,0.1434715,117516.05,1.438625
9,24341.379,0.285435,12098.57,0.1434715,117943.06,1.439465
10,24360.836,0.285343,12101.251,0.143469,118299.92,1.44032
11,24376.717,0.285259,12100.472,0.1434635,118583.51,1.441175
12,24389.568,0.285183,12096.012,0.143455,118795.97,1.442015
13,24399.816,0.285113,12090.334,0.143444,118942.08,1.442835
14,24406.928,0.285048,12084.175,0.1434295,119029.83,1.443615
15,24411.652,0.284988,12076.536,0.1434125,119063.33,1.44435
16,24414.094,0.284932,12069.554,0.1433925,119025.93,1.44503
17,24414.592,0.28488,12062.773,0.1433705,118943.28,1.445655
18,24413.984,0.28483,12057.066,0.143346,118832.84,1.446215
19,24411.479,0.284782,12052.728,0.14332,118704.63,1.446715
20,24410.301,0.284737,12048.845,0.1432925,118564.06,1.447155
21,24407.818,0.284694,12046.445,0.143264,118419.01,1.44753
22,24403.77,0.284653,12044.31,0.143235,118285.73,1.447845
23,24400.318,0.284613,12043.26,0.143205,118170.15,1.44811
24,24396.992,0.284574,12043.254,0.143175,118077.57,1.44833
25,24393.814,0.284537,12044.031,0.1431455,117987.73,1.448505
26,24390.637,0.284501,12045.021,0.143116,117907.78,1.448635
27,24388.568,0.284466,12046.799,0.143087,117840.28,1.448735
28,24387.316,0.284434,12049.343,0.143059,117774.79,1.448805
29,24385.564,0.284402,12052.457,0.143032,117715.66,1.448845
30,24384.553,0.284372,12056.633,0.1430055,117674.38,1.448865
31,24381.129,0.284344,12061.573,0.1429805,117643.57,1.448865
32,24379.877,0.284316,12066.911,0.142957,117624.07,1.44885
33,24379.316,0.284291,12072.437,0.1429345,117616.25,1.44883
34,24378.818,0.284267,12078.352,0.142913,117612.23,1.4488
35,24378.9,0.284244,12084.092,0.1428935,117620.59,1.44877
36,24379.865,0.284224,12089.773,0.1428745,117635.94,1.448735
37,24381.197,0.284205,12095.006,0.1428565,117655.17,1.4487
38,24381.754,0.284189,12099.791,0.14284,117682.17,1.44867
39,24382.484,0.284174,12104.114,0.142824,117715.32,1.448645
40,24383.549,0.284161,12107.794,0.1428085,117750.51,1.448625
41,24385.412,0.284149,12111.021,0.1427935,117793.93,1.44861
42,24386.619,0.284139,12113.6,0.1427795,117840.24,1.448605
43,24387.844,0.28413,12115.971,0.1427655,117891.46,1.44861
44,24389.072,0.284123,12117.813,0.142752,117946.96,1.448615
45,24389.447,0.284117,12119.381,0.1427385,118001.86,1.44863
46,24390.625,0.284113,12120.671,0.1427255,118052.5,1.44865
47,24391.594,0.28411,12121.406,0.1427125,118101.09,1.448675
48,24392.352,0.284108,12121.972,0.1426995,118146.19,1.4487
49,24392.891,0.284107,12122.174,0.142687,118184.14,1.448725
50,24393.15,0.284107,12122.139,0.1426745,118217.19,1.448755
51,24391.516,0.284108,12121.709,0.1426615,118245.66,1.44878
52,24389.854,0.284109,12121.483,0.142649,118267.66,1.448805
53,24388.535,0.284111,12120.805,0.1426365,118280.91,1.44882
54,24387.971,0.284113,12121.092,0.142624,118292.17,1.448835
55,24386.93,0.284117,12121.25,0.1426115,118298.12,1.448845
56,24386.373,0.284121,12121.278,0.1425995,118297.66,1.44885
57,24386.23,0.284126,12121.731,0.1425875,118297.29,1.44885
58,24386.029,0.284132,12122.041,0.1425755,118290.03,1.44884
59,24385.25,0.284138,12122.427,0.142564,118284.67,1.44883
60,24384.723,0.284144,12122.718,0.1425525,118278.57,1.44881
61,24383.828,0.284151,12123.105,0.1425415,118273.81,1.44878
62,24381.873,0.284158,12123.562,0.1425305,118274.41,1.44875
63,24381.102,0.284165,12124.294,0.14252,118268.26,1.448715
